Bootstrap,Technique,S_CC_Pearson,S_CC_Spearman,S_CC_Pairwise,S_CC_Layer,S_CC_Variance,Num_Layers,S_CC_Pearson_Norm,S_CC_Spearman_Norm,S_CC_Pairwise_Norm,S_CC_Layer_Norm,S_CC_Variance_Norm,S_CC_Aggregate,Rank,Rank_Pearson,Rank_Spearman,Rank_Pairwise,Rank_Layer,Rank_Variance
852,Subspace-oriented Representational Analysis,0.0995289334229547,0.11348271429128975,0.5233494363929146,0.11017365830493905,0.22116598466339807,25,0.0,0.0,0.0,0.0,1.0,0.2,5,5.0,5.0,5.0,5.0,1.0
853,Attention Entropy Analysis,0.203478543745562,0.22571246535405873,0.5664,0.20940144810288353,0.10010970887450264,24,1.0,1.0,0.6724137931034484,1.0,0.44373312917500884,0.8232293844556914,1,1.0,1.0,4.0,1.0,3.0
853,Layer-wise Activation Distance,0.1839291360993487,0.1678987680125037,0.5968,0.15981244419135388,0.1045888408351209,25,0.8314076435551457,0.5577345653462137,1.0,0.5803949264968289,0.46478856114140193,0.686865139307918,2,4.0,3.0,1.0,3.0,2.0
853,CKA Similarity,0.18814988119764117,0.16794044522593463,0.5968,0.15982667716984394,0.011393030057434392,25,0.8678069746730904,0.5580533892886489,1.0,0.58051536105922,0.02669518263965207,0.6066141815321222,3,3.0,2.0,1.0,2.0,4.0
853,Cosine Similarity,0.18823444737437503,0.1678987680125037,0.5968,0.15981244419135388,0.005714151279423236,25,0.8685362658756223,0.5577345653462137,1.0,0.5803949264968289,0.0,0.6013331515437329,4,2.0,3.0,1.0,3.0,5.0
853,Subspace-oriented Representational Analysis,0.08752187727232343,0.0949907475539492,0.504,0.09122126620583389,0.21844462234111783,25,0.0,0.0,0.0,0.0,1.0,0.2,5,5.0,5.0,5.0,5.0,1.0
854,Attention Entropy Analysis,0.17591245133349506,0.2629677859534073,0.6055008210180625,0.24481471248084535,0.10404763529880659,24,1.0,1.0,1.0,1.0,0.4626071474690359,0.8925214294938073,1,1.0,1.0,1.0,1.0,2.0
854,Layer-wise Activation Distance,0.15651730053162746,0.1971380296778111,0.5800492610837439,0.1868607761263948,0.10144964220421171,25,0.8005413521391272,0.5482105527184585,0.6787564766839375,0.5598811911083921,0.45043705615893037,0.6075653257617691,2,4.0,3.0,2.0,2.0,3.0
854,CKA Similarity,0.1613517828177786,0.19714063066885923,0.5800492610837439,0.1868326956889296,0.010557688990632252,25,0.8502588980223071,0.5482284033133035,0.6787564766839375,0.5596679402152216,0.02466095526610193,0.5323145347001744,3,3.0,2.0,2.0,4.0,4.0
854,Cosine Similarity,0.16140837909311115,0.1971380296778111,0.5800492610837439,0.1868607761263948,0.005293226312834107,25,0.8508409309576069,0.5482105527184585,0.6787564766839375,0.5598811911083921,0.0,0.5275378302936791,4,2.0,3.0,2.0,2.0,5.0
854,Subspace-oriented Representational Analysis,0.07867349473836067,0.11725885744323543,0.526272577996716,0.11313677646988199,0.2187668172987635,25,0.0,0.0,0.0,0.0,1.0,0.2,5,5.0,5.0,5.0,5.0,1.0
855,Attention Entropy Analysis,0.17862653875903245,0.20793639036506736,0.5543293718166383,0.19437238933896006,0.10602387624244405,24,1.0,1.0,0.5380710659898469,1.0,0.470252939598361,0.8016648011176416,1,1.0,1.0,2.0,1.0,2.0
855,Subspace-oriented Representational Analysis,0.09004804535093364,0.0974440873758407,0.5929541595925297,0.09349306511503806,0.21899261702130782,25,0.0,0.0,1.0,0.0,1.0,0.4,2,5.0,5.0,1.0,5.0,1.0
855,Layer-wise Activation Distance,0.13450292869681452,0.12355519596977498,0.5093378607809848,0.11579784809785727,0.10504247762566588,25,0.5018699419628685,0.2363160861664743,0.0,0.22110361220609734,0.4656508432243015,0.2849880967119483,3,4.0,3.0,3.0,3.0,3.0
855,CKA Similarity,0.14162998246071834,0.12357120489861474,0.5093378607809848,0.11580144473953137,0.011449250511156424,25,0.5823302601471941,0.23646097344284256,0.0,0.22113926511814613,0.026761849724156052,0.21333846968646775,4,3.0,2.0,3.0,2.0,4.0
855,Cosine Similarity,0.14172433087456932,0.12355519596977498,0.5093378607809848,0.11579784809785727,0.005742276956722826,25,0.5833953992144878,0.2363160861664743,0.0,0.22110361220609734,0.0,0.20816301951741187,5,2.0,3.0,3.0,3.0,5.0
856,Attention Entropy Analysis,0.18306467690683034,0.20429415089986988,0.57756671189507,0.1925929841486374,0.09253271655466766,24,1.0,1.0,0.5874125874125854,1.0,0.4053235403205106,0.7985472255466192,1,1.0,1.0,4.0,1.0,3.0
