Technique,Layer,Layer_Mean,S_CC_Pearson_Layer,S_CC_Spearman_Layer
Subspace-oriented Representational Analysis,12,0.13493384087328028,0.0809207635673896,0.09717835790325355
Subspace-oriented Representational Analysis,13,0.13496400714236528,0.04619386608307575,0.07106890507654805
Subspace-oriented Representational Analysis,14,0.13178452092346216,0.05018637930943907,0.08173410382051496
Subspace-oriented Representational Analysis,15,0.128006775960937,0.061302519144288546,0.08496208887952458
Subspace-oriented Representational Analysis,16,0.12348102460303258,0.07807594407028311,0.09348663217556556
Subspace-oriented Representational Analysis,17,0.1090083194727025,0.060326118508990646,0.08057086108286335
Subspace-oriented Representational Analysis,18,0.09635751165829824,0.06454131962291114,0.07553832405542174
Subspace-oriented Representational Analysis,19,0.08371487824673586,0.06813023983162474,0.07468651164276356
Subspace-oriented Representational Analysis,20,0.0765645051185885,0.0706546586180823,0.07553720403446236
Subspace-oriented Representational Analysis,21,0.06087591315829684,0.052355654468746377,0.04557966468323592
Subspace-oriented Representational Analysis,22,0.039539918338232116,0.04472239255062993,0.019849179700036173
Subspace-oriented Representational Analysis,23,0.020697090191894786,0.03413380384472551,0.08247132245713103
Subspace-oriented Representational Analysis,24,0.011613182512368965,0.06638245387058073,0.046082909240591434
CKA Similarity,0,0.0033728856692709862,0.2476297754720478,0.2801605671425418
CKA Similarity,1,0.003469479794994401,0.2518002607491923,0.287020988880176
CKA Similarity,2,0.005177944395863863,0.2536690267794652,0.28228091140654266
CKA Similarity,3,0.005896238357429125,0.2383576222100298,0.24787103274326844
CKA Similarity,4,0.006953066055575252,0.2281109553606023,0.2280934509337915
CKA Similarity,5,0.007744134667972588,0.20637267466348366,0.2000334344163633
CKA Similarity,6,0.007896341310905318,0.19992104030830737,0.19057849983090006
CKA Similarity,7,0.009178794641023714,0.1978331089049584,0.16572832350096187
CKA Similarity,8,0.00963526570091865,0.19132931028380237,0.15702667031607037
CKA Similarity,9,0.010071222623675642,0.18313983995069172,0.15500035280296537
CKA Similarity,10,0.01132638764334828,0.17970981726978488,0.1499279594381108
CKA Similarity,11,0.010931745529122181,0.17141546675361105,0.14041152018158878
CKA Similarity,12,0.010479525408129176,0.15432067529883853,0.13039870396032477
CKA Similarity,13,0.010119575787197474,0.1455458696532405,0.11698368643867281
CKA Similarity,14,0.010693574776892322,0.13432452130300754,0.10777201170889301
CKA Similarity,15,0.010729638499418236,0.12909790017256084,0.10154061870561293
CKA Similarity,16,0.010305274485323918,0.12283785104688627,0.09613222904978849
CKA Similarity,17,0.009923432835579667,0.11963419985766555,0.092075024082146
CKA Similarity,18,0.009153823914468149,0.12285631748111923,0.0897302038305061
CKA Similarity,19,0.00889875177546331,0.1332235260704563,0.09921304685746143
